calendar_date,weekday,day_of_month,day_of_year,week_of_month,week,month,quarter,year,retail_week,isoyear,isoweek,first_day_of_week,first_day_of_month,first_day_of_quarter,first_day_of_year,last_day_of_week,last_day_of_month,last_day_of_quarter,last_day_of_year,day_of_quarter,days_in_week,days_in_month,days_in_quarter,days_in_year,is_sunday,is_tuesday,is_monday,is_wednesday,is_thursday,is_friday,is_saturday,is_weekday,is_weekend,is_first_day_of_week,is_first_day_of_month,is_first_day_of_quarter,is_first_day_of_year,is_last_day_of_week,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year,pct_week_elapsed,pct_month_elapsed,pct_quarter_elapsed,pct_year_elapsed,simple_scaling_factor__end_of_week,simple_scaling_factor__end_of_month,simple_scaling_factor__end_of_quarter,simple_scaling_factor__end_of_year,elapsed_month_sundays,elapsed_month_mondays,elapsed_month_tuesdays,elapsed_month_wednesdays,elapsed_month_thursdays,elapsed_month_fridays,elapsed_month_saturdays,sundays_in_month,mondays_in_month,tuesdays_in_month,wednesdays_in_month,thursdays_in_month,fridays_in_month,saturdays_in_month,nth_sunday_of_month,nth_monday_of_month,nth_tuesday_of_month,nth_wednesday_of_month,nth_thursday_of_month,nth_friday_of_month,nth_saturday_of_month,fixed_holidays,floating_holidays,holiday
2024-01-12,6,12,12,2.0,1,1,1,2024,1,2024,2,2024-01-07,2024-01-01,2024-01-01,2024-01-01,2024-01-13,2024-01-31,2024-03-31,2024-12-31,12,7,31,91,366,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.8571428571428571,0.38709677419354838,0.13186813186813187,0.032786885245901641,1.1666666666666667,2.5833333333333335,7.583333333333333,30.5,1,2,2,2,2,2,1,4,5,5,5,4,4,4,,,,,,2,,,,
2024-01-13,7,13,13,2.0,1,1,1,2024,2,2024,2,2024-01-07,2024-01-01,2024-01-01,2024-01-01,2024-01-13,2024-01-31,2024-03-31,2024-12-31,13,7,31,91,366,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,1.0,0.41935483870967744,0.14285714285714285,0.035519125683060107,1.0,2.3846153846153846,7.0,28.153846153846153,1,2,2,2,2,2,2,4,5,5,5,4,4,4,,,,,,,2,,,
2024-01-14,1,14,14,2.0,2,1,1,2024,2,2024,2,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,14,7,31,91,366,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,0.14285714285714285,0.45161290322580644,0.15384615384615385,0.03825136612021858,7.0,2.2142857142857144,6.5,26.142857142857142,2,2,2,2,2,2,2,4,5,5,5,4,4,4,2,,,,,,,,,
2024-01-15,2,15,15,3.0,2,1,1,2024,2,2024,3,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,15,7,31,91,366,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.2857142857142857,0.4838709677419355,0.16483516483516483,0.040983606557377046,3.5,2.0666666666666669,6.0666666666666664,24.4,2,3,2,2,2,2,2,4,5,5,5,4,4,4,,3,,,,,,,Martin Luther King Jr. Day,Martin Luther King Jr. Day
2024-01-16,3,16,16,3.0,2,1,1,2024,2,2024,3,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,16,7,31,91,366,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,0.42857142857142855,0.5161290322580645,0.17582417582417584,0.043715846994535519,2.3333333333333335,1.9375,5.6875,22.875,2,3,3,2,2,2,2,4,5,5,5,4,4,4,,,3,,,,,,,
2024-01-17,4,17,17,3.0,2,1,1,2024,2,2024,3,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,17,7,31,91,366,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,0.5714285714285714,0.54838709677419351,0.18681318681318682,0.046448087431693992,1.75,1.8235294117647058,5.3529411764705879,21.529411764705884,2,3,3,3,2,2,2,4,5,5,5,4,4,4,,,,3,,,,,,
2024-01-18,5,18,18,3.0,2,1,1,2024,2,2024,3,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,18,7,31,91,366,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,0.7142857142857143,0.58064516129032262,0.19780219780219779,0.049180327868852458,1.4,1.7222222222222223,5.0555555555555554,20.333333333333332,2,3,3,3,3,2,2,4,5,5,5,4,4,4,,,,,3,,,,,
2024-01-19,6,19,19,3.0,2,1,1,2024,2,2024,3,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,19,7,31,91,366,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,0.8571428571428571,0.61290322580645162,0.2087912087912088,0.051912568306010931,1.1666666666666667,1.631578947368421,4.7894736842105265,19.263157894736842,2,3,3,3,3,3,2,4,5,5,5,4,4,4,,,,,,3,,,,
2024-01-20,7,20,20,3.0,2,1,1,2024,3,2024,3,2024-01-14,2024-01-01,2024-01-01,2024-01-01,2024-01-20,2024-01-31,2024-03-31,2024-12-31,20,7,31,91,366,false,false,false,false,false,false,true,false,true,false,false,false,false,true,false,false,false,1.0,0.64516129032258063,0.21978021978021978,0.0546448087431694,1.0,1.55,4.55,18.3,2,3,3,3,3,3,3,4,5,5,5,4,4,4,,,,,,,3,,,
2024-01-21,1,21,21,3.0,3,1,1,2024,3,2024,3,2024-01-21,2024-01-01,2024-01-01,2024-01-01,2024-01-27,2024-01-31,2024-03-31,2024-12-31,21,7,31,91,366,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,0.14285714285714285,0.67741935483870963,0.23076923076923078,0.05737704918032787,7.0,1.4761904761904763,4.333333333333333,17.428571428571427,3,3,3,3,3,3,3,4,5,5,5,4,4,4,3,,,,,,,,,
